_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,which_sound_was_more_realistic,which_sound_was_more_realistic:confidence,orig__golden,jobname,morepc_gold,morepc_gold_reason,rownum,s0_coordinates,s0_hash,s0_iteration,s0_mix,s0_name,s0_simplegrainlength,s0_simplemaxdist,s1_coordinates,s1_hash,s1_iteration,s1_mix,s1_name,s1_simplegrainlength,s1_simplemaxdist
279848567,false,finalized,4,5/15/2013 17:39:59,same,1.0,"",tune-simple-study-1-rank-iterations,"","",0,0.00_0.00_1.00,0f5e559ff50799b683b3069d7dbdf23b,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,9e8baaeacd7c51d3021c701b0c97d4d9,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15
279848568,false,finalized,4,5/15/2013 17:32:49,same,0.7401,"",tune-simple-study-1-rank-iterations,"","",1,0.00_0.00_1.00,4065161816f3f7e6dd29042c08483d0b,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,9e8baaeacd7c51d3021c701b0c97d4d9,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15
279848569,false,finalized,4,5/15/2013 17:40:40,s0,0.5106,"",tune-simple-study-1-rank-iterations,"","",2,0.00_0.00_1.00,9e8baaeacd7c51d3021c701b0c97d4d9,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,bf5528943917fd12d5732b33bcae57dc,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3,0.50_1.00,15
279848570,false,finalized,4,5/15/2013 17:21:42,same,0.7475,"",tune-simple-study-1-rank-iterations,"","",3,0.00_0.00_1.00,ef7bcc9362c41758b98ca29543ee9599,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,9e8baaeacd7c51d3021c701b0c97d4d9,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,15
279848571,false,finalized,4,5/15/2013 17:19:41,same,1.0,"",tune-simple-study-1-rank-iterations,"","",4,0.00_0.00_1.00,4065161816f3f7e6dd29042c08483d0b,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,0f5e559ff50799b683b3069d7dbdf23b,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,15
279848573,false,finalized,4,5/15/2013 17:33:26,same,1.0,"",tune-simple-study-1-rank-iterations,"","",5,0.00_0.00_1.00,bf5528943917fd12d5732b33bcae57dc,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,0f5e559ff50799b683b3069d7dbdf23b,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,15
279848574,false,finalized,4,5/15/2013 17:35:16,same,1.0,"",tune-simple-study-1-rank-iterations,"","",6,0.00_0.00_1.00,ef7bcc9362c41758b98ca29543ee9599,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,0f5e559ff50799b683b3069d7dbdf23b,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,15
279848575,false,finalized,4,5/15/2013 17:26:58,same,1.0,"",tune-simple-study-1-rank-iterations,"","",7,0.00_0.00_1.00,bf5528943917fd12d5732b33bcae57dc,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,4065161816f3f7e6dd29042c08483d0b,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,0.50_1.00,15
279848576,false,finalized,4,5/15/2013 17:38:03,same,0.5,"",tune-simple-study-1-rank-iterations,"","",8,0.00_0.00_1.00,ef7bcc9362c41758b98ca29543ee9599,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,4065161816f3f7e6dd29042c08483d0b,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,0.50_1.00,15
279848577,false,finalized,4,5/15/2013 18:25:14,same,0.2558,"",tune-simple-study-1-rank-iterations,"","",9,0.00_0.00_1.00,bf5528943917fd12d5732b33bcae57dc,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3,0.50_1.00,15,0.00_0.00_1.00,ef7bcc9362c41758b98ca29543ee9599,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3,0.50_1.00,15
