_unit_id,_created_at,_updated_at,_golden,jobname,rownum,s0_coordinates,s0_hash,s0_iteration,s0_mix,s0_name,s0_simplegrainlength,s0_simplemaxdist,s1_coordinates,s1_hash,s1_iteration,s1_mix,s1_name,s1_simplegrainlength,s1_simplemaxdist,morepc_gold,morepc_gold_reason
279848579,5/15/2013 16:56:23,5/15/2013 17:32:36,"",tune-simple-study-1-rank-iterations,10,0.00_0.00_1.00,d5d28b0cf5edb6a2313f40e48cee0daf,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-01-simple.maxdist-15.mp3,1.00_2.00,15,0.00_0.00_1.00,efbf1a3f1b2d0abd794438ea171ba9e1,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3,1.00_2.00,15,"",""
279848582,5/15/2013 16:56:23,5/15/2013 17:11:37,"",tune-simple-study-1-rank-iterations,11,0.00_0.00_1.00,304ccffb76309f712e4e1f4f57d6ed26,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-02-simple.maxdist-15.mp3,1.00_2.00,15,0.00_0.00_1.00,efbf1a3f1b2d0abd794438ea171ba9e1,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3,1.00_2.00,15,"",""
279848583,5/15/2013 16:56:23,5/15/2013 17:33:55,"",tune-simple-study-1-rank-iterations,12,0.00_0.00_1.00,85de18c878867977e8208e63c2fd1df5,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-15.mp3,1.00_2.00,15,0.00_0.00_1.00,efbf1a3f1b2d0abd794438ea171ba9e1,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3,1.00_2.00,15,"",""
279848584,5/15/2013 16:56:23,5/15/2013 17:24:24,"",tune-simple-study-1-rank-iterations,13,0.00_0.00_1.00,e85d4cf246c0e2c776d85b22ed74bc0b,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-04-simple.maxdist-15.mp3,1.00_2.00,15,0.00_0.00_1.00,efbf1a3f1b2d0abd794438ea171ba9e1,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3,1.00_2.00,15,"",""
279848586,5/15/2013 16:56:23,5/15/2013 17:21:20,"",tune-simple-study-1-rank-iterations,14,0.00_0.00_1.00,d5d28b0cf5edb6a2313f40e48cee0daf,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-01-simple.maxdist-15.mp3,1.00_2.00,15,0.00_0.00_1.00,304ccffb76309f712e4e1f4f57d6ed26,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-02-simple.maxdist-15.mp3,1.00_2.00,15,"",""
279848587,5/15/2013 16:56:23,5/15/2013 17:31:18,"",tune-simple-study-1-rank-iterations,15,0.00_0.00_1.00,85de18c878867977e8208e63c2fd1df5,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-15.mp3,1.00_2.00,15,0.00_0.00_1.00,d5d28b0cf5edb6a2313f40e48cee0daf,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-01-simple.maxdist-15.mp3,1.00_2.00,15,"",""
279848588,5/15/2013 16:56:23,5/15/2013 17:38:22,"",tune-simple-study-1-rank-iterations,16,0.00_0.00_1.00,d5d28b0cf5edb6a2313f40e48cee0daf,01,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-01-simple.maxdist-15.mp3,1.00_2.00,15,0.00_0.00_1.00,e85d4cf246c0e2c776d85b22ed74bc0b,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-04-simple.maxdist-15.mp3,1.00_2.00,15,"",""
279848589,5/15/2013 16:56:23,5/15/2013 17:36:09,"",tune-simple-study-1-rank-iterations,17,0.00_0.00_1.00,304ccffb76309f712e4e1f4f57d6ed26,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-02-simple.maxdist-15.mp3,1.00_2.00,15,0.00_0.00_1.00,85de18c878867977e8208e63c2fd1df5,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-15.mp3,1.00_2.00,15,"",""
279848590,5/15/2013 16:56:23,5/15/2013 17:28:40,"",tune-simple-study-1-rank-iterations,18,0.00_0.00_1.00,304ccffb76309f712e4e1f4f57d6ed26,02,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-02-simple.maxdist-15.mp3,1.00_2.00,15,0.00_0.00_1.00,e85d4cf246c0e2c776d85b22ed74bc0b,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-04-simple.maxdist-15.mp3,1.00_2.00,15,"",""
279848591,5/15/2013 16:56:23,5/15/2013 17:38:53,"",tune-simple-study-1-rank-iterations,19,0.00_0.00_1.00,85de18c878867977e8208e63c2fd1df5,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-15.mp3,1.00_2.00,15,0.00_0.00_1.00,e85d4cf246c0e2c776d85b22ed74bc0b,04,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-04-simple.maxdist-15.mp3,1.00_2.00,15,"",""
