_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,which_sound_was_more_realistic,orig__golden,jobname,morepc_gold,morepc_gold_reason,rownum,s0_coordinates,s0_hash,s0_iteration,s0_mix,s0_name,s0_simplegrainlength,s0_simplemaxdist,s1_coordinates,s1_hash,s1_iteration,s1_mix,s1_name,s1_simplegrainlength,s1_simplemaxdist
283053804,5/27/2013 21:53:45,false,947382498,,5/27/2013 21:52:28,false,amt,0.8824,13928463,USA,FL,Tampa,72.187.9.203,s1,"",tune-simple-study-2-1-intracoord,"","",2,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30,0.00_0.00_1.00,efbf1a3f1b2d0abd794438ea171ba9e1,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3,1.00_2.00,15
283053804,5/27/2013 21:54:12,false,947382966,,5/27/2013 21:53:01,false,amt,1.0,19193,USA,NY,Astoria,72.227.151.45,s1,"",tune-simple-study-2-1-intracoord,"","",2,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30,0.00_0.00_1.00,efbf1a3f1b2d0abd794438ea171ba9e1,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3,1.00_2.00,15
283053804,5/27/2013 21:54:16,false,947383089,,5/27/2013 21:53:20,false,neodev,0.8947,17206872,GBR,"","",91.216.105.41,same,"",tune-simple-study-2-1-intracoord,"","",2,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30,0.00_0.00_1.00,efbf1a3f1b2d0abd794438ea171ba9e1,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3,1.00_2.00,15
283053804,5/27/2013 21:54:41,false,947383499,,5/27/2013 21:53:04,false,neodev,1.0,17722585,GBR,"","",81.132.29.190,s1,"",tune-simple-study-2-1-intracoord,"","",2,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30,0.00_0.00_1.00,efbf1a3f1b2d0abd794438ea171ba9e1,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3,1.00_2.00,15
283053804,5/27/2013 21:54:52,false,947383725,,5/27/2013 21:52:56,false,instagc,0.8571,17725602,USA,MO,Greentop,199.127.53.6,same,"",tune-simple-study-2-1-intracoord,"","",2,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30,0.00_0.00_1.00,efbf1a3f1b2d0abd794438ea171ba9e1,00,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3,1.00_2.00,15
283053805,5/27/2013 22:04:14,false,947391790,,5/27/2013 22:03:52,false,neodev,0.8947,17206872,GBR,"","",91.216.105.41,same,"",tune-simple-study-2-1-intracoord,"","",3,0.00_0.00_1.00,52d04de2e3d78ca343186e9a6aaa4152,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-30.mp3,1.00_2.00,30,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30
283053805,5/27/2013 22:06:20,false,947394109,,5/27/2013 22:05:32,false,prodege,1.0,17705043,CAN,AB,Stony Plain,173.210.240.178,s0,"",tune-simple-study-2-1-intracoord,"","",3,0.00_0.00_1.00,52d04de2e3d78ca343186e9a6aaa4152,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-30.mp3,1.00_2.00,30,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30
283053805,5/27/2013 22:07:15,false,947394885,,5/27/2013 22:06:03,false,prodege,0.9167,18351163,USA,CA,Cypress,76.91.226.207,s0,"",tune-simple-study-2-1-intracoord,"","",3,0.00_0.00_1.00,52d04de2e3d78ca343186e9a6aaa4152,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-30.mp3,1.00_2.00,30,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30
283053805,5/27/2013 22:08:50,false,947396174,,5/27/2013 22:05:28,false,instagc,1.0,16545647,USA,FL,Sanford,207.30.133.54,same,"",tune-simple-study-2-1-intracoord,"","",3,0.00_0.00_1.00,52d04de2e3d78ca343186e9a6aaa4152,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-30.mp3,1.00_2.00,30,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30
283053805,5/27/2013 22:08:50,false,947396188,,5/27/2013 22:07:46,false,instagc,1.0,15319322,USA,PA,Pittsburgh,96.236.184.84,same,"",tune-simple-study-2-1-intracoord,"","",3,0.00_0.00_1.00,52d04de2e3d78ca343186e9a6aaa4152,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-30.mp3,1.00_2.00,30,0.00_0.00_1.00,e511237a89235dead47051afedcf2b06,03,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-30.mp3,0.50_1.00,30
